CLIENT_INFORMATION,PRODUCT_INFORMATION,TOTAL_TRANSACTION_AMOUNT
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100020001,SGX FUNK    20100910,1
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  432100030001,CME FUN1    20100910,-3
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,1
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,2
CL  123400020001,SGX FUNK    20100910,3
CL  123400020001,SGX FUNK    20100910,3
CL  123400020001,SGX FUNK    20100910,3
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,4
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,5
CL  123400020001,SGX FUNK    20100910,6
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-1
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-2
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-3
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-4
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-5
CL  123400020001,SGX FUNK    20100910,-6
CL  123400020001,SGX FUNK    20100910,-6
CL  123400020001,SGX FUNK    20100910,-7
CL  123400020001,SGX FUNK    20100910,-7
CL  123400020001,SGX FUNK    20100910,-7
CL  123400020001,SGX FUNK    20100910,-8
CL  123400020001,SGX FUNK    20100910,-8
CL  123400020001,SGX FUNK    20100910,-9
CL  123400020001,SGX FUNK    20100910,-10
CL  123400020001,SGX FUNK    20100910,-10
CL  123400020001,SGX FUNK    20100910,-10
CL  123400020001,SGX FUNK    20100910,-10
CL  123400020001,SGX FUNK    20100910,-10
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,1
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,2
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,3
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,4
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,5
CL  123400030001,CME FUNK.   20100910,6
CL  123400030001,CME FUNK.   20100910,6
CL  123400030001,CME FUNK.   20100910,7
CL  123400030001,CME FUNK.   20100910,8
CL  123400030001,CME FUNK.   20100910,8
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,10
CL  123400030001,CME FUNK.   20100910,12
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
CL  123400030001,CME FUNK.   20100910,-1
